Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJQ-59PJMHFogROk9ni4vt8z8;Park Place Senior Living;41.1890379/-85.092113;4411 Park Place Drive, Fort Wayne, IN 46845, USA;city;Perry Township;46845;Allen County;4.6;http://www.parkplacelife.com/;N/A;(260) 480-2500
ChIJ_RzhpE7iFYgR_mQclVQcDMo;Yellow Retirement Communities;41.078941/-85.15765999999999;1214 W Main St, Fort Wayne, IN 46808, USA;city;Fort Wayne;46808;Wayne Township;4;http://www.yellowretirement.com/;N/A;(260) 424-0424
ChIJf2hUdFbmFYgRU6wJehNTHoc;Covington Commons;41.060165/-85.225488;2601 Covington Commons Dr, Fort Wayne, IN 46804, USA;city;Wayne Township;46804;Allen County;5;https://www.fivestarseniorliving.com/communities/in/fort-wayne/covington-commons;N/A;(260) 432-1932
ChIJS0iwobH8FYgRw2s8CRROJo0;Harbour Assisted Living of Fort Wayne;41.1089483/-85.10001199999999;3110 E Coliseum Blvd, Fort Wayne, IN 46805, USA;city;St Joseph Township;46805;Allen County;2.3;http://www.seniorlifestyle.com/property/harbour-assisted-living-of-fort-wayne/;N/A;(260) 579-4302
ChIJMYQUzSvjFYgR6CpPQ5rVOC0;Towne House Retirement Center;41.13428199999999/-85.1121641;2209 St Joe Center Rd, Fort Wayne, IN 46825, USA;city;St Joseph Township;46825;Allen County;5;http://www.townehouse.org/;N/A;(260) 483-3116
ChIJ51TFUVb7FYgR511JL5ar7SI;Heritage Park;41.09458100000001/-85.099098;2001 Hobson Rd, Fort Wayne, IN 46805, USA;city;St Joseph Township;46805;Allen County;4.6;http://www.ascseniorcare.com/location/heritage-park/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-as48&utm_campaign=maps;N/A;(260) 484-9557
ChIJLcAu1-zkFYgR8EAAIuBJ-mA;Lamplight Inn of Fort Wayne by Priority Life Care;41.077414/-85.13467299999999;300 E Washington Blvd, Fort Wayne, IN 46802, USA;city;Wayne Township;46802;Allen County;4;http://www.prioritylc.com/communities/lamplight-inn-fort-wayne-priority-life-care/;N/A;(260) 422-5511
ChIJ0TR58MPnFYgRov4kIgAKL6o;Coventry Meadows Assisted Living;41.03850399999999/-85.2440893;7833 W Jefferson Blvd, Fort Wayne, IN 46804, USA;city;Aboite Township;46804;Allen County;3;http://www.ascseniorcare.com/location/coventry-meadows-assisted-living/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-asccmal&utm_campaign=maps;N/A;(260) 435-2100
ChIJnyYm3ID7FYgROYOXOO3kbfc;Georgetowne Place;41.092654/-85.060717;1717 Maplecrest Rd, Fort Wayne, IN 46815, USA;city;St Joseph Township;46815;Allen County;4;http://www.capitalsenior.com/georgetowneplace;N/A;(877) 712-7869
ChIJFwYDE2jcFYgRd-uL--NOvzo;The Hearth at Sycamore Village;41.0771673/-85.3356009;611 W County Line Rd S, Fort Wayne, IN 46814, USA;city;Aboite Township;46814;Allen County;4.2;http://sycamorevillage.thehearth.net/contact;N/A;(260) 271-4180
ChIJVbW3k4DvFYgRZy8w7Cv8myg;Kingston Residence of Fort Wayne;41.01520550000001/-85.14242829999999;7515 Winchester Rd, Fort Wayne, IN 46819, USA;city;Wayne Township;46819;Allen County;;http://www.kingstonhealthcare.com/;N/A;(260) 747-1523
ChIJ5RfhDqj8FYgRK2aYP0lKaoA;Woodview;41.0970798/-85.096541;3320 E State Blvd, Fort Wayne, IN 46805, USA;city;St Joseph Township;46805;Allen County;;http://www.capitalsenior.com/woodview/;N/A;(866) 663-5891
ChIJP9GOE0LjFYgR8SDaLNVhApE;Glenbrook Rehabilitation and Skilled Nursing;41.111677/-85.12624;3811 Parnell Ave, Fort Wayne, IN 46805, USA;city;Washington Township;46805;Allen County;2.6;http://www.ascseniorcare.com/location/glenbrook-rehabilitation-skilled-nursing-center/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-83&utm_campaign=maps;N/A;(260) 482-4651
ChIJa-ZtYxr8FYgREEjbShQ53R4;Golden Years Homestead, Inc.;41.106951/-85.0331709;8300 Maysville Rd, Fort Wayne, IN 46815, USA;city;Fort Wayne;46815;St. Joseph Township;5;http://www.goldenyearshome.org/;N/A;(260) 749-6725
ChIJneu9dMbnFYgRmQ_pieHuF-A;Coventry Meadows;41.0375309/-85.2419893;7843 W Jefferson Blvd, Fort Wayne, IN 46804, USA;city;Aboite Township;46804;Allen County;4.6;http://www.ascseniorcare.com/location/coventry-meadows/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-as86&utm_campaign=maps;N/A;(260) 432-4848
ChIJGay3hR0IFogR7PgGAtKZ0Wc;Kingston At Dupont;41.1779376/-85.119967;1716 E Dupont Rd, Fort Wayne, IN 46825, USA;city;Washington Township;46825;Allen County;;http://www.kingstonhealthcare.com/;N/A;(260) 490-5111
ChIJ7_QouKvkFYgRIvhb264CTwM;Saint Anne Home & Retirement Community;41.0940216/-85.110275;1900 Randallia Dr, Fort Wayne, IN 46805, USA;city;Wayne Township;46805;Allen County;3.5;http://www.saintannehome.com/;N/A;(260) 484-5555
ChIJTRX-Yx_9FYgRgPbmpRjNANg;Bethlehem Woods Nursing and Rehabilitation;41.13954699999999/-85.085365;4430 Elsdale Dr, Fort Wayne, IN 46835, USA;city;St Joseph Township;46835;Allen County;4;http://www.ascseniorcare.com/location/bethlehem-woods-nursing-rehabilitation/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-55&utm_campaign=maps;N/A;(260) 485-8157
ChIJy5tdURU2ZkARqKniybdvVbE;The Heritage of Fort Wayne;41.1591738/-85.06732099999999;5250 Heritage Pkwy, Fort Wayne, IN 46835, USA;city;St Joseph Township;46835;Allen County;4.8;http://www.lifeatheritage.org/;N/A;(260) 209-6279
ChIJAz_5p3zjFYgROljqwMwVu4k;Summit City Nursing and Rehabilitation;41.1026933/-85.13770749999999;2940 N Clinton St, Fort Wayne, IN 46805, USA;city;Fort Wayne;46805;Wayne Township;4.3;http://www.ascseniorcare.com/location/summit-city-nursing-rehabilitation/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-as152&utm_campaign=maps;N/A;(260) 484-0602
ChIJwYdNptP8FYgRdjd2WCXIfJ0;Canterbury Nursing and Rehabilitation Center;41.130092/-85.103668;2827 Northgate Blvd, Fort Wayne, IN 46835, USA;city;St Joseph Township;46835;Allen County;3.5;http://www.ascseniorcare.com/location/canterbury-nursing-rehabilitation-center/?utm_source=google&utm_medium=organic&utm_content=fort-wayne-asc0072&utm_campaign=maps;N/A;(260) 492-1400
ChIJT9zWuBLnFYgRSJyaheZQG2M;North Woods Village at Inverness Lakes;41.073801/-85.2506064;8075 Glencarin Blvd, Fort Wayne, IN 46804, USA;city;Aboite Township;46804;Allen County;5;http://northwoodsmemorycare.com/;N/A;(260) 420-1866
ChIJubdr4JfdFYgRCUzeeTIEd3A;American Senior Communities;41.0756033/-85.29284030000001;901 Chestnut Hills Pkwy, Fort Wayne, IN 46814, USA;city;Aboite Township;46814;Allen County;;N/A;N/A;(260) 271-1274
ChIJvWhHK9D8FYgRjL7sMWqWbx8;Arbor Glen;41.12689590000001/-85.098778;5202 St Joe Rd, Fort Wayne, IN 46835, USA;city;St Joseph Township;46835;Allen County;4.3;http://www.holidaytouch.com/our-communities/arbor-glen?utm_source=Local&utm_medium=organic&utm_term=5474&utm_content=IL&utm_campaign=gmb;N/A;(260) 632-8116
ChIJI9YKem7lFYgRANnvJ_PQTA8;Villa of the Woods;41.0321848/-85.1357611;5610 Noll Ave, Fort Wayne, IN 46806, USA;city;Wayne Township;46806;Allen County;5;http://www.villaofthewoods.com/;N/A;(260) 745-7039
ChIJt8ANT6njFYgRUKmilYFsq4g;Kingston Care Center Fort Wayne;41.133105/-85.15257;1010 W Washington Center Rd, Fort Wayne, IN 46825, USA;city;Fort Wayne;46825;Washington Township;3.7;http://www.kingstonhealthcare.com/;N/A;(260) 489-2552
ChIJM-b1xXsbFogR7p71vvW9IXA;Smith Farms Manor;41.3709492/-85.0298966;406 Smith Dr, Auburn, IN 46706, USA;city;Union Township;46706;DeKalb County;4;https://www.fivestarseniorliving.com/communities/in/auburn/smith-farms-manor;N/A;(260) 925-4800
ChIJK9GSqVn7FYgR4--7aSG4GyY;Ryker Reserve Senior Living;41.0933948/-85.0935454;1825 Laverne Ave, Fort Wayne, IN 46805, USA;city;Fort Wayne;46805;St. Joseph Township;4.3;N/A;N/A;N/A
ChIJvdVl4fLjFYgRVG85m4WhpM4;Hamilton Place;41.107182/-85.17034799999999;2116 Butler Rd, Fort Wayne, IN 46808, USA;city;Fort Wayne;46808;Washington Township;4.2;http://www.enlivant.com/communities/indiana/hamilton-place-fort-wayne;N/A;(260) 344-2054
ChIJCcWjRVrcFYgRHT3oxhjzad4;The Cottages at Bridgewater - Senior Apartment Community;41.072434/-85.325805;14203 West Illinois Road, Fort Wayne, IN 46814, USA;city;IN;46814;United States;;http://www.cottagesatbridgewater.com/;N/A;(260) 422-1455
ChIJ83FWlJXjFYgR0cJSQCy8h04;Rescare Inc;41.11831569999999/-85.16510359999999;4410 Executive Blvd, Fort Wayne, IN 46808, USA;city;Washington Township;46808;Allen County;4;http://www.rescare.com/;N/A;(260) 490-3230
ChIJE26RV6qWFYgRWMBefgMZr-M;River Terrace Retirement Community;40.7773383/-85.19495789999999;400 Caylor Blvd, Bluffton, IN 46714, USA;city;Lancaster Township;46714;Wells County;4.2;http://www.riverterraceretirementcommunity.com/;N/A;(260) 824-8940
ChIJ8Vip2ACeFogRpX4rg19TEFM;Miller's Senior Living Community;41.210429/-85.85116599999999;1634 S County Farm Rd, Warsaw, IN 46580, USA;city;Wayne Township;46580;Kosciusko County;;http://www.millersseniorliving.com/warsaw-assisted-living;N/A;(574) 267-5292
ChIJcfI77cIJFogR6VT75g7B_40;Byron Health Center;41.19392/-85.169804;12101 Lima Rd, Fort Wayne, IN 46818, USA;city;Perry Township;46818;Allen County;3.8;http://byronhealth.org/;N/A;(260) 637-3166
ChIJG1lecFHlFYgRp77DvzAHiG0;Lutheran Life Villages - Village at Anthony Boulevard;41.023291/-85.10954439999999;6723 S Anthony Blvd, Fort Wayne, IN 46816, USA;city;Adams Township;46816;Allen County;2.7;http://lutheranlifevillages.org/communities/the-village-at-anthony-boulevard;N/A;(260) 447-1591
ChIJLf9ckx2_FYgR_JNu5NKfG_c;Markle Health and Rehabilitation;40.82604289999999/-85.3288123;170 N Tracy St, Markle, IN 46770, USA;city;Rockcreek Township;46770;Wells County;5;http://www.ascseniorcare.com/location/markle-health-rehabilitation/?utm_source=google&utm_medium=organic&utm_content=markle-74&utm_campaign=maps;N/A;(260) 758-2131
ChIJlyL8CxsBFogR9tVI4q38MS8;The Cedars;41.2208437/-84.9934614;14409 Sunrise Ct, Leo, IN 46765, USA;city;Cedar Creek Township;46765;Allen County;3.7;http://thecedarsrc.com/;N/A;(260) 627-2191
ChIJPfBDlPvmFYgRW3gVbZtM-qA;Alzheimers Association;41.0683517/-85.22457129999999;6324 Constitution Dr, Fort Wayne, IN 46804, USA;city;Wayne Township;46804;Allen County;;http://www.alz.org/;N/A;(260) 420-5547
