Facility ID;Facility Name;Location (lat/lon);Address;city;county;Zip;state;rating(google);Website;Contact email;Contact Phone
ChIJhdaAtToS3ogR-j6Uk6jB2ac;Monroe Street;28.0583315/-80.6007642;Monroe St, Florida, USA;city;US;stre;N/A;;N/A;N/A;N/A
ChIJCZXMlDn_5IgRzrJJ3GtLLFo;Savannah Grand of Amelia Island;30.64102589999999/-81.4399921;1900 Amelia Trace Ct, Fernandina Beach, FL 32034, USA;city;Nassau County;32034;Florida;3.7;http://www.slm.net/senior-living/fl/fernandina-beach/savannah-grand-of-amelia-island/;N/A;(904) 321-9918
ChIJHWsB-hj_5IgR6eIeI0-zOiE;Jane Adams House;30.6514637/-81.4519445;1550 Nectarine St, Fernandina Beach, FL 32034, USA;city;Nassau County;32034;Florida;3;http://www.janeadamshouse.org/contact.html;N/A;(904) 261-9494
ChIJM-NPHlpx5YgRw-y1JCf85D4;Dayspring Village;30.7677314/-81.9708849;554820 US-1, Hilliard, FL 32046, USA;city;Nassau County;32046;Florida;1;http://www.dayspringvillage.org/;N/A;(904) 845-7501
ChIJKzQSXf9z5YgR4Vtc2FfQRQ8;Dayspring Senior Living, LLC;30.7396004/-81.9495776;553600 US-1, Hilliard, FL 32046, USA;city;Nassau County;32046;Florida;;http://www.dayspringseniorliving.org/;N/A;(904) 845-1940
ChIJe8hPa7ED5YgR6GeGBswxoFg;Coastal Assisted Living-St;30.7436237/-81.5663797;1020 Mc Dowell St, St Marys, GA 31558, USA;city;Camden County;31558;Georgia;5;http://altrus.us/homes-homes/home-2/;N/A;(912) 882-4021
ChIJr4dz-4xV5IgRLTeu_S_hFqo;The Lakeside at Amelia Island;30.606441/-81.45208099999999;649 Amelia Island Pkwy, Fernandina Beach, FL 32034, USA;city;US;32034;32034;5;https://www.arborcompany.com/locations/florida/amelia-island;N/A;(904) 637-1559
ChIJZ9Zk2toc5YgR_XrpgSZOals;Magnolia Manor;30.8186629/-81.5698625;4695 Charlie Smith Sr Hwy, St Marys, GA 31558, USA;city;Camden County;31558;Georgia;5;http://www.magnoliamanor.com/;N/A;(912) 673-7713
ChIJjRRSzrJ15YgRhuwAG_3FLLM;Life Care Center of Hilliard;30.69299509999999/-81.9181038;3756 W 3rd St, Hilliard, FL 32046, USA;city;Nassau County;32046;Florida;4.4;http://lifecarecenterofhilliard.com/;N/A;(904) 845-3988
ChIJ0y9ssd2q5YgRclUuBNk4VX4;Amelia Island Care Center;30.581767/-81.52742219999999;95146 Hendricks Rd, Fernandina Beach, FL 32034, USA;city;Nassau County;32034;Florida;5;http://www.ccnassau.org/;N/A;(904) 261-5518
